"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R2U5EFZMD3Y5S0","amy deblasio","https://www.amazon.com/gp/profile/amzn1.account.AHMF365RG2AMF6YMOXSIL47ZWCHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2U5EFZMD3Y5S0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","This is all my hubby wears and looks great!","Reviewed in the United States on October 22, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Black/White","Verified Purchase","","","","[]","[]"
"R24E60YOY3LZHO","Cool Ray","https://www.amazon.com/gp/profile/amzn1.account.AFNXJMGPCWYPHIZK43H3VK4LV4MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R24E60YOY3LZHO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Nothing","Reviewed in the United States on November 3, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Black/White","Verified Purchase","","","","[]","[]"
"R19BZMYKCGTV0F","Michael b Willard","https://www.amazon.com/gp/profile/amzn1.account.AHAZRWPL3BJZ72KHRQ6LKHVDNFQQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R19BZMYKCGTV0F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Best hat I’ve ever owned!!!","Reviewed in the United States on October 16, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Black/White","Verified Purchase","","","","[]","[]"
"R3T4A74U2UO35Z","Casey J Cline","https://www.amazon.com/gp/profile/amzn1.account.AGJA6ZVIHZVMWHWNQSN3KEF2EFLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3T4A74U2UO35Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Great hat","Reviewed in the United States on October 1, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Grill Heather/Black/Fish Flag","Verified Purchase","","","","[]","[]"
"RF27MI2JQDGU6","Katherine","https://www.amazon.com/gp/profile/amzn1.account.AGKMEZNTWZOOEYQXCTHSPB3FDLHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RF27MI2JQDGU6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Just like purchasing from Dicks Sporting goods! Get it","Reviewed in the United States on August 22, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Grill Heather/Black/Fish Flag","Verified Purchase","","","","[]","[]"
"RT2EVBAYF5R6B","joseph   harrell","https://www.amazon.com/gp/profile/amzn1.account.AEV76QJOKDU33IN634V2APQB6SCA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RT2EVBAYF5R6B/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","I am a hat snob,these fit great,I have purchased several","Reviewed in the United States on July 17, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","","","","[]","[]"
"R3C27TQM5Z552O","Amazon Customer","https://www.amazon.com/gp/profile/amzn1.account.AGPDQ2MMDMIZPPNYBJO4M2KM4XTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3C27TQM5Z552O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Fits great and very well made. This is my go to hat","Reviewed in the United States on July 15, 2023","","Verified Purchase","","","","[]","[]"
"R2W6LOGX2Z9SGH","Shelley ","https://www.amazon.com/gp/profile/amzn1.account.AGYYINWCZFXZEJEMOA4NEMUWRBNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/R2W6LOGX2Z9SGH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","After wearing the hat 5 times it became discolored. The discoloration was about an inch in both directions on the back of the bill and the front of the hat. It was not due to sweat.","Reviewed in the United States on July 29, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","","","","[]","[]"
"RJQ0NGVCGI1Y0","Ur mom ","https://www.amazon.com/gp/profile/amzn1.account.AFEP7ERGVVXJKXXEPZGV7WZC3TOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RJQ0NGVCGI1Y0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Got as a gift for dad he loved it super cute and durable","Reviewed in the United States on June 25, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","","","","[]","[]"
"R31KD3JW9PUNMT","Diego","https://www.amazon.com/gp/profile/amzn1.account.AHLWD2Y253KGOJ2BQOB7HYPMCQDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R31KD3JW9PUNMT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B07DKZWC87","B07DKZWC87","Excelente","Reviewed in the United States on September 7, 2023","Size: One Size<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Color: Titanium/White","Verified Purchase","","","","[]","[]"
