"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"R1BDU678RW60J2","Chris ","https://www.amazon.com/gp/profile/amzn1.account.AEMQIMYFXXZOTAQUJOGTBLRMUTDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/R1BDU678RW60J2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Rims are a little thing dog took out the front rim first crash put better rims on it and changed the derailleur wire I messed up and it's as to be expected for a 100$ MTN bike it's not gonna go on a expert course but normal riding it's ok once you get at better seat","Reviewed in the United States on May 20, 2024","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","","https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/bbf21cf6-5a8d-4f37-bc73-e8e9e242128d/default.vertical.jobtemplate.mp4.480.mp4","https://m.media-amazon.com/images/I/51QNXdivcKL._SY256._SY256.jpg","[]","[]"
"R3POBM29GWLX3M","Chris F","https://www.amazon.com/gp/profile/amzn1.account.AEJBZT3YK4O5PHRMRJETEEAJ6TIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3POBM29GWLX3M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Aside with some front derailleur issues we are still having, the bike is a good one. The frame is very stiff. The tires are the right size for suburban biking.","Reviewed in the United States on April 21, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","One person found this helpful","","","[]","[]"
"R3VMURO414KEBY","Hess Family","https://www.amazon.com/gp/profile/amzn1.account.AG3HM4CBVR4T2U6ORYXMMO2QEZKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R3VMURO414KEBY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","The quality is very good for the price, but I don't think the folks at the factory are bike enthusiasts.<br><br>I had to have a pro tweak the brakes, significantly adjust the derailleurs and fix the front wheel which was warped out of the box. The wheels needed to be ""trued"" which involves adjusting the tension on the spokes.<br><br>Getting everything just right, the brakes, 'truing' the wheels and adjusting the derailleurs  are something you will want a bike pro to handle. The guy spent about 20-30 minutes and charged for $40 labor, well worth it to start my daughter off right on her new bike.<br><br>This was not optional. The front wheel would rub against the brakes during part of its rotation since the wheel was warped, which was easily fixed by the tech by adjusting the spokes.<br><br>Since new bikes at my local cycle shop start at $700, this is still a very good deal.","Reviewed in the United States on March 25, 2022","Color: Blue<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","8 people found this helpful","","","[]","[]"
"R32V8JTDSRRC3D","Michelle Pfefferle","https://www.amazon.com/gp/profile/amzn1.account.AGIZUT5AFPWFJZ3WZJX6A3PRL7AA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","2","","https://www.amazon.com/gp/customer-reviews/R32V8JTDSRRC3D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","For the wheel size, the seat is very high, even in the lowest position. The seat itself is also very hard &amp; uncomfortable.","Reviewed in the United States on July 6, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","","","","[]","[]"
"R1BA9X13EJEESV","Amazon Customer","https://www.amazon.com/gp/profile/amzn1.account.AHSKLXRM6QRPQHRYI52ORDQ6W5MQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R1BA9X13EJEESV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","I Bought this bike for my 8 years-old boy, and is very satisfy with it quality and sturdiness.","Reviewed in the United States on April 12, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","One person found this helpful","","","[]","[]"
"R2SBEGIOVQZKCZ","Karl","https://www.amazon.com/gp/profile/amzn1.account.AEZIOWQ6KN3JZ6PNECAVZKH2DATQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2SBEGIOVQZKCZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Seats a little hard but easy to look past, great kids bike!","Reviewed in the United States on November 24, 2023","Color: Pink<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","","","","[]","[]"
"RTKQ5D0MKHHM2","J. Valle","https://www.amazon.com/gp/profile/amzn1.account.AEWCHXF4LGPBFRRG7XY7BXUCEKKA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/RTKQ5D0MKHHM2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","For the price the bike isnt bad. I still need to make some adjustments but it is rideable out of the box. For a leulisurely rider you cant ask for a lot at the price point. It has wheels and brakes, and everything works.<br><br>The seat.....is horrendous. Im a little rusty but we did one 45 minute bike ride and my lady parts still have some numbness...its been a few weeks so im not sure how that much damage happened that quickly. Purchased a replacement and im looking forward to trying it with a lot more comfort.","Reviewed in the United States on August 31, 2023","Color: Pink<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","2 people found this helpful","","","[]","[]"
"R2JOMYLCBJCM6F","Xinqiao Zhang","https://www.amazon.com/gp/profile/amzn1.account.AEPW2QZRKE4Z5RWX2TSGR6WZQHBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","2","","https://www.amazon.com/gp/customer-reviews/R2JOMYLCBJCM6F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","The right pedal on the bike can't be squeezed tight from the screws it was bought with because of a problem with the turnbuckle inside. It doesn't fit at the moment.  I seldom ride it,but today it fall off when I ride it, I hope to replace this right side part.","Reviewed in the United States on May 9, 2024","Color: Pink<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 26-inch","Verified Purchase","","","","[""https://m.media-amazon.com/images/I/616sMwdKc9L._SY88.jpg"",""https://m.media-amazon.com/images/I/61cvb11FUzL._SY88.jpg"",""https://m.media-amazon.com/images/I/71rfcPRx8OL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/616sMwdKc9L.jpg"",""https://m.media-amazon.com/images/I/61cvb11FUzL.jpg"",""https://m.media-amazon.com/images/I/71rfcPRx8OL.jpg""]"
"R2XDJLQBWEMDGV","Elhadji Gueye","https://www.amazon.com/gp/profile/amzn1.account.AHVC67BX5567OZY2VCP7UJ3KX2PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/R2XDJLQBWEMDGV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","Good! I'm 13 yrs old and my dad bought it for me for my birthday. I am really short I'm about 4'9 or 4'10 and the seat can't go any lower so it was a little too tall for me. Also the seat is pretty hard and uncomfortable but all bike seats are. (although this one is more uncomfortable than usual 😬) my dad got it to finally teach me how to ride and he said to go on amazon and pick the one I want. After reading the reviews I picked this one. I wasn't aware this was a mountain bike when I bought it, but my brother pointed it out to me when it came. I knew there was something off abt the handles LMAO. He said it would be harder to learn cuz mountain bikes aren't really for beginners but oh well. Anyways I recommend for children 12-15. But again, bike seat is pretty tall. Don't recommend for anyone shorter than 4'9.","Reviewed in the United States on April 9, 2021","Color: Purple<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","79 people found this helpful","","","[]","[]"
"R2LPUUY1I5KI1Y","Annie McGee","https://www.amazon.com/gp/profile/amzn1.account.AFQERWMJIPV2H7E5R5MHDWNF6MOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","2","","https://www.amazon.com/gp/customer-reviews/R2LPUUY1I5KI1Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B0D79QXMN4","B0D79QXMN4","I ordered this bike to be donated to a local elementary school for a fundraiser and it showed up with rust on the front fork. I didn’t have time to send it back before the fundraiser date, but was disappointed to deliver it with rust on it.","Reviewed in the United States on May 10, 2024","Color: Red<i class=""a-icon a-icon-text-separator"" role=""img"" aria-label=""|""></i>Size: 24-inch","Verified Purchase","","","","[""https://m.media-amazon.com/images/I/616i7r9TGrL._SY88.jpg"",""https://m.media-amazon.com/images/I/61U-IKpwotL._SY88.jpg"",""https://m.media-amazon.com/images/I/71X5+IkRoSL._SY88.jpg"",""https://m.media-amazon.com/images/I/71qOqXvnpCL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/616i7r9TGrL.jpg"",""https://m.media-amazon.com/images/I/61U-IKpwotL.jpg"",""https://m.media-amazon.com/images/I/71X5+IkRoSL.jpg"",""https://m.media-amazon.com/images/I/71qOqXvnpCL.jpg""]"
