"id","username","profileURL","rating","title","review_url","asin","content","date","format_strip","verified","helpful","videoURL","video_cover_url","imgs","normalImgs"
"RP5CN3E9YCGAV","David Byrd","https://www.amazon.com/gp/profile/amzn1.account.AF2S6QBWELW3RZCOO63R6KBCKT5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8","4","","https://www.amazon.com/gp/customer-reviews/RP5CN3E9YCGAV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Arrived quickly . In good condition. Product looks very good the reel seems good quality, have not fished with it yet, but very happy with the purchase. Got it for grandson to teach him to use open faced reel and artificial baits. Will most likely buy another one.","Reviewed in the United States on February 19, 2023","Size: 6.89FT/2.1M","Verified Purchase","One person found this helpful","","","[]","[]"
"RRNS85MB23KQO","G Milburg","https://www.amazon.com/gp/profile/amzn1.account.AFFCWJC3QIHASD2CXAB33AJSNOEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RRNS85MB23KQO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","This portable fishing pole is pretty amazing. This is the first time I used a telescoping pole and it's flexible and sturdy. It stayed extended firmly and kept good contact with the fish I caught. It handled the fish pictured @ 2 pound Bass with no problem. The spinning reel is responsive with a good drag system. Kinda cool the pole and reel came with a small tackle box with some tackle and fishing line. The fishing line provided is sturdy but stiff on the reel and wants to recoil on the cast and birdnest so I will replace it with a more familiar fishing line. All in all, I'm happy with my purchase and would recommend this LineRike setup for those who want to learn to fish a spinning setup and those who are experienced. Can't wait to latch into some larger fish with this rig and experience it's performance. Thanks LineRike 👍","Reviewed in the United States on June 22, 2021","Size: 6.89FT/2.1M","Verified Purchase","9 people found this helpful","","","[""https://images-na.ssl-images-amazon.com/images/I/B1jFt5gRcgS._SY88.jpg""]","[""https://images-na.ssl-images-amazon.com/images/I/B1jFt5gRcgS.jpg""]"
"RV7TQB1GG4PKV","Thossy mutombo","https://www.amazon.com/gp/profile/amzn1.account.AFTREPX6RLJIHOS7OARXJA42JQUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","2","","https://www.amazon.com/gp/customer-reviews/RV7TQB1GG4PKV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Please, make sure to send an intacte package.","Reviewed in the United States on May 8, 2024","Size: 7.87FT/2.4M","Verified Purchase","","https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/9193aa13-4fa3-4f0d-bf17-7ca29b94810a/default.vertical.jobtemplate.mp4.480.mp4","https://m.media-amazon.com/images/I/41Ii9ex3tRL._SY256._SY256.jpg","[""https://m.media-amazon.com/images/I/615EFOr--VL._SY88.jpg"",""https://m.media-amazon.com/images/I/61i8yh5EUoL._SY88.jpg"",""https://m.media-amazon.com/images/I/61jAEFBzcYL._SY88.jpg""]","[""https://m.media-amazon.com/images/I/615EFOr--VL.jpg"",""https://m.media-amazon.com/images/I/61i8yh5EUoL.jpg"",""https://m.media-amazon.com/images/I/61jAEFBzcYL.jpg""]"
"RZV45N7JOZ27T","Stephannie S.","https://www.amazon.com/gp/profile/amzn1.account.AGGQO3LC2HHPDPJTYQLSA3HU2NKQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","2","","https://www.amazon.com/gp/customer-reviews/RZV45N7JOZ27T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Got this for vacation in a remote place. First cast the reel broke. No fishing pole the rest of the time. Save your money!","Reviewed in the United States on February 23, 2024","Size: 6.89FT/2.1M","Verified Purchase","","","","[]","[]"
"RVG4Q1EUXX7AX","J Britton","https://www.amazon.com/gp/profile/amzn1.account.AGG6C6E32R62KMCB2MUDIQHBEXVQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RVG4Q1EUXX7AX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","This was a Christmas present for my grandson in the Navy.  Space is a critical issue for someone in the Navy.  This fishing kit came in a compact case that provided him everything he needed during his off hours to allow him to fish.  The size allows him to store it snuggly in corner of his car trunk when it is not in use.","Reviewed in the United States on March 31, 2022","Size: 6.89FT/2.1M","Verified Purchase","4 people found this helpful","","","[]","[]"
"RNR8JPCOXCZZ7","Ling","https://www.amazon.com/gp/profile/amzn1.account.AFTQW2ZK34AKXYRID253HFINBUHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/RNR8JPCOXCZZ7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","Light weight and easy to use. Good for beginners","Reviewed in the United States on August 29, 2023","Size: 6.89FT/2.1M","Verified Purchase","","","","[]","[]"
"RTA4VGUP70U4H","Tully brown","https://www.amazon.com/gp/profile/amzn1.account.AEJGW2B2KAIODNUVFQTDFMLZGAGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","3","","https://www.amazon.com/gp/customer-reviews/RTA4VGUP70U4H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","This pole is nice and compact. Shrinks down very small and seems to work well. The pole itself is heavy duty and seems strong, but because it is so stiff it makes it hard to feel the little things. The reel is loud but it works. The issue I have is that my pole came without the lower cap on the bottom so when it is collapsed it all falls out the bottom.. overall good for beginners with limited room for storage. Would not purchase again.","Reviewed in the United States on August 16, 2021","Size: 6.89FT/2.1M","Verified Purchase","One person found this helpful","","","[]","[]"
"R2QJEF41N2KTLZ","Amazon Customer","https://www.amazon.com/gp/profile/amzn1.account.AFKAT6A4SO3UFLUCW2XRM3O6POBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2QJEF41N2KTLZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","This is a really nice fishing pole especially for the price, my son cant wait to use it and likes the wooden handle on the reel. It looks very easy to use and assemble and you can watch a video on how to assemble it. It comes with a carrying case also.","Reviewed in the United States on June 30, 2022","Size: 6.89FT/2.1M","Verified Purchase","2 people found this helpful","","","[]","[]"
"R3E5O1EH9N6QXJ","M. P. Schiesl","https://www.amazon.com/gp/profile/amzn1.account.AHIIX342SLOUJIGTC2JYE4B44XTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R3E5O1EH9N6QXJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","My son kept looking at these for a while, so we finally got one. It is really a nice package. I wouldn't mind getting one for myself. Comes with a nice carry bag. Seems strong enough. The reel and pole construction and materials seem good enough for everything we are doing. Love that we can retract it for easy transport. I don't know much about fishing, but seems good to me.","Reviewed in the United States on August 10, 2021","Size: 6.89FT/2.1M","Verified Purchase","One person found this helpful","","","[]","[]"
"R2FNFRZ0SMP1N1","Robert W. Galey","https://www.amazon.com/gp/profile/amzn1.account.AH5KBGU543XJ3DFK7SYXLKNZHPRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8","5","","https://www.amazon.com/gp/customer-reviews/R2FNFRZ0SMP1N1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B08TR5Z9XY","B08TR5Z9XY","The perfect “grown up” combination for my 9yr old grandson’s birthday.  He can’t wait to wet the hook.  And, with the travel case, he is already talking about which lake we will go to when he comes for a visit.  He loves it and that’s all that counts.","Reviewed in the United States on May 3, 2022","Size: 6.89FT/2.1M","Verified Purchase","One person found this helpful","","","[]","[]"
